Name,P1 Name,P1 RBI,P2 Name,P2 RBI,P3 Name,P3 RBI,Total,P4 Name,P4 RBI,P5 Name,P5 RBI
Tom,Vladimir Guerrero(TOR),54,Austin Riley(ATL),51,Kyle Tucker(HOU),58,163,Eugenio Suarez(SEA),44,Tyler O'Neill(STL),28
Chris,Bryce Harper(PHI),48,Freddie Freeman(LAD),50,Paul Goldschmidt(STL),65,163,George Springer(TOR),38,Mookie Betts(LAD),46
Gregg,Manny Machado(SD),50,Nolan Arenado(STL),55,Giancarlo Stanton(NYY),54,159,Bo Bichette(TOR),45,Josh Bell(WSH),47
Rob,Pete Alonso(NYM),69,Jose Ramirez(CLE),63,Franmil Reyes(CLE),24,156,Jared Walsh(LAA),40,Eloy Jimenez(CWS),11
Zee,Juan Soto(WSH),36,Mike Trout(LAA),51,Shohei Ohtani(LAA),54,141,Trea Turner(LAD),59,Luis Robert(CWS),45
Efran,Teoscar Hernandez(TOR),33,Nick Castellanos(PHI),44,Aaron Judge(NYY),64,141,Jorge Polanco(MIN),44,Jesus Aguilar(MIA),35
Wie,Jose Abreu(CWS),38,Yordan Alvarez(HOU),60,Ozzie Albies(ATL),33,131,Marcell Ozuna(ATL),37,Javier Baez(DET),31
Randy,Rafael Devers(BOS),51,Xander Bogaerts(BOS),35,Rhys Hoskins(PHI),42,128,Alex Bregman(HOU),44,Matt Chapman(TOR),40
Kevin,Matt Olson(ATL),49,J.D. Martinez(BOS),34,Joey Gallo(NYY),21,104,Carlos Correa(MIN),31,Max Muncy(LAD),25
Brett,Salvador Perez(KC),34,Adam Duvall(ATL),32,Joey Votto(CIN),25,91,Mitch Haniger(SEA),7,Austin Meadows(DET),11
