Name,P1 Name,P1 RBI,P2 Name,P2 RBI,P3 Name,P3 RBI,Total,P4 Name,P4 RBI,P5 Name,P5 RBI
Rob,Pete Alonso(NYM),131,Jose Ramirez(CLE),124,Franmil Reyes(CHC),44,299,Jared Walsh(LAA),44,Eloy Jimenez(CWS),54
Tom,Vladimir Guerrero(TOR),97,Austin Riley(ATL),93,Kyle Tucker(HOU),107,297,Eugenio Suarez(SEA),87,Tyler O'Neill(STL),58
Chris,Mookie Betts(LAD),82,Freddie Freeman(LAD),98,Paul Goldschmidt(STL),115,295,George Springer(TOR),76,̶B̶r̶y̶c̶e̶ ̶H̶a̶r̶p̶e̶r(̶P̶H̶I),̶6̶5
Gregg,Manny Machado(SD),102,Nolan Arenado(STL),102,Josh Bell(SD),71,275,Bo Bichette(TOR),93,̶G̶i̶a̶n̶c̶a̶r̶l̶o̶ ̶S̶t̶a̶n̶t̶o̶n(̶N̶Y̶Y),̶7̶8
Efran,Jorge Polanco(MIN),56,Nick Castellanos(PHI),62,Aaron Judge(NYY),131,249,̶T̶e̶o̶s̶c̶a̶r̶ ̶H̶e̶r̶n̶a̶n̶d̶e̶z(̶T̶O̶R),̶7̶7,Jesus Aguilar(BAL),51
Zee,Trea Turner(LAD),97,Luis Robert(CWS),56,Shohei Ohtani(LAA),95,248,̶J̶u̶a̶n̶ ̶S̶o̶t̶o(̶S̶D),̶6̶2,̶M̶i̶k̶e̶ ̶T̶r̶o̶u̶t(̶L̶A̶A),̶7̶9
Randy,Rafael Devers(BOS),88,Xander Bogaerts(BOS),73,Rhys Hoskins(PHI),78,239,Alex Bregman(HOU),93,Matt Chapman(TOR),76
Wie,Jose Abreu(CWS),75,Yordan Alvarez(HOU),96,Marcell Ozuna(ATL),53,224,̶O̶z̶z̶i̶e̶ ̶A̶l̶b̶i̶e̶s(̶A̶T̶L),̶3̶5,Javier Baez(DET),66
Kevin,Matt Olson(ATL),101,J.D. Martinez(BOS),58,Carlos Correa(MIN),64,223,̶J̶o̶e̶y̶ ̶G̶a̶l̶l̶o(̶L̶A̶D),̶4̶7,Max Muncy(LAD),69
Brett,Salvador Perez(KC),76,Adam Duvall(ATL),36,Joey Votto(CIN),41,153,Mitch Haniger(SEA),33,Austin Meadows(DET),11
