Name,Player1,RBI,Player2,RBI,Player3,RBI,Player4,RBI,Player5,RBI,TOTAL
Gregg,Aaron Judge(NYY),40,Rafael Devers(BOS),52,Freddie Freeman(LA),43,Teoscar Hernández(SEA),33,José Abreu(HOU),29,135
Tom,José Ramírez(CLE),38,Kyle Tucker(HOU),38,Shohei Ohtani(ANA),46,Adolis García(TEX),54,Mookie Betts(LA),41,122
Brett,Paul Goldschmidt(STL),28,Yordan Alvarez(HOU),55,Alex Bregman(HOU),39,Bo Bichette(TOR),43,Trea Turner(PHI),20,122
Zee,Pete Alonso(NYM),49,Austin Riley(ATL),33,Mike Trout(ANA),35,Eloy Jiménez(CWS),24,Randy Arozarena(TB),43,117
Efran,Vladimir Guerrero Jr.(TOR),39,Francisco Lindor(NYM),43,Juan Soto(SD),31,Xander Bogaerts(SD),21,Gleyber Torres(NYY),28,113
Angelo,Nolan Arenado(STL),44,Kyle Schwarber(PHI),35,Dansby Swanson(CHC),26,Charlie Blackmon(COL),26,Trayce Thompson(LA),14,105
Wie,Matt Olson(ATL),43,Manny Machado(SD),21,C.J. Cron(COL),20,Giancarlo Stanton(NYY),12,Adam Duvall(BOS),14,84
