Name,P1 Name,P1 RBI,P2 Name,P2 RBI,P3 Name,P3 RBI,Total,P4 Name,P4 RBI
Brett,Jose Abreu(CWS),66,Matt Olson(OAK),59,J.D. Martinez(BOS),62,187,Michael A. Taylor(KC),32
Dave,Manny Machado(SD),60,Nolan Arenado(STL),56,Yordan Alvarez(HOU),56,172,Paul Goldschmidt(STL),49
Kevin,Pete Alonso(NYM),49,Fernando Tatis Jr.(SD),60,Ronald Acuna Jr.(ATL),52,161,Mike Moustakas(CIN),13
Angelo,Vladimir Guerrero Jr.(TOR),73,Francisco Lindor(NYM),36,Aaron Judge(NYY),47,156,George Springer(TOR),11
Randy,Carlos Correa(HOU),52,Joey Gallo(TEX),52,Xander Bogaerts(BOS),51,155,Cody Bellinger(LAD),17
Rob,Bryce Harper(PHI),34,Rafael Devers(BOS),72,Giancarlo Stanton(NYY),42,148,Michael Conforto(NYM),19
Efran,Gleyber Torres(NYY),29,Javier Baez(CHC),56,Jose Ramirez(CLE),52,137,Trea Turner(WSH),42
Arnie,Juan Soto(WSH),42,Eric Hosmer(SD),41,Eddie Rosario(CLE),46,129,Corey Seager(LAD),22
Zee,Franmil Reyes(CLE),38,Nelson Cruz(MIN),46,Josh Bell(WSH),42,126,Anthony Rendon(LAA),34
Wie,Freddie Freeman(ATL),50,Christian Yelich(MIL),24,Kyle Tucker(HOU),49,123,Alex Bregman(HOU),34
Tom,Marcell Ozuna(ATL),26,Eugenio Suarez(CIN),50,Charlie Blackmon(COL),41,117,Jorge Soler(KC),30
Gregg,Mike Trout(LAA),18,Matt Chapman(OAK),42,Rhys Hoskins(PHI),55,115,Mookie Betts(LAD),38
