Name,P1 Name,P1 RBI,P2 Name,P2 RBI,P3 Name,P3 RBI,Total,P4 Name,P4 RBI
Brett,Jose Abreu(CWS),113,Matt Olson(OAK),109,J.D. Martinez(BOS),95,317,Michael A. Taylor(KC),52
Dave,Manny Machado(SD),100,Nolan Arenado(STL),103,Yordan Alvarez(HOU),101,304,Paul Goldschmidt(STL),97
Rob,Bryce Harper(PHI),82,Rafael Devers(BOS),108,Giancarlo Stanton(NYY),91,281,Michael Conforto(NYM),50
Zee,Franmil Reyes(CLE),81,Nelson Cruz(TB),83,Josh Bell(WSH),88,252,Anthony Rendon(LAA),34
Angelo,Vladimir Guerrero Jr.(TOR),105,Francisco Lindor(NYM),55,Aaron Judge(NYY),90,250,George Springer(TOR),39
Efran,Trea Turner(LAD),65,Javier Baez(NYM),85,Jose Ramirez(CLE),99,249,Gleyber Torres(NYY),49
Randy,Carlos Correa(HOU),88,Joey Gallo(NYY),76,Xander Bogaerts(BOS),79,243,Cody Bellinger(LAD),34
Kevin,Pete Alonso(NYM),89,Fernando Tatis Jr.(SD),95,Ronald Acuna Jr.(ATL),52,236,Mike Moustakas(CIN),22
Wie,Freddie Freeman(ATL),82,Christian Yelich(MIL),49,Kyle Tucker(HOU),88,219,Alex Bregman(HOU),52
Arnie,Juan Soto(WSH),92,Eric Hosmer(SD),65,Eddie Rosario(ATL),59,216,Corey Seager(LAD),48
Tom,Marcell Ozuna(ATL),26,Eugenio Suarez(CIN),75,Charlie Blackmon(COL),78,179,Jorge Soler(ATL),66
Gregg,Mike Trout(LAA),18,Matt Chapman(OAK),72,Rhys Hoskins(PHI),71,161,Mookie Betts(LAD),55
