Name,Player1,RBI,Player2,RBI,Player3,RBI,Player4,RBI,Player5,RBI,TOTAL
Brett,Paul Goldschmidt(STL),8,Yordan Alvarez(HOU),20,Alex Bregman(HOU),6,Bo Bichette(TOR),11,Trea Turner(PHI),3,34
Tom,José Ramírez(CLE),9,Kyle Tucker(HOU),13,Shohei Ohtani(ANA),9,Adolis García(TEX),14,Mookie Betts(LA),5,31
Zee,Pete Alonso(NYM),13,Austin Riley(ATL),8,Mike Trout(ANA),9,Eloy Jiménez(CWS),4,Randy Arozarena(TB),17,30
Wie,Matt Olson(ATL),15,Manny Machado(SD),7,C.J. Cron(COL),8,Giancarlo Stanton(NYY),11,Adam Duvall(BOS),14,30
Efran,Vladimir Guerrero Jr.(TOR),7,Francisco Lindor(NYM),15,Juan Soto(SD),7,Xander Bogaerts(SD),10,Gleyber Torres(NYY),6,29
Gregg,Aaron Judge(NYY),8,Rafael Devers(BOS),15,Freddie Freeman(LA),3,Teoscar Hernández(SEA),9,José Abreu(HOU),5,26
Angelo,Nolan Arenado(STL),13,Kyle Schwarber(PHI),8,Dansby Swanson(CHC),5,Charlie Blackmon(COL),4,Trayce Thompson(LA),11,26
