Name,Player1,RBI,Player2,RBI,Player3,RBI,Player4,RBI,Player5,RBI,TOTAL
Gregg,Aaron Judge(NYY),40,Rafael Devers(BOS),56,Freddie Freeman(LA),46,Teoscar Hernández(SEA),39,José Abreu(HOU),33,142
Tom,José Ramírez(CLE),42,Kyle Tucker(HOU),40,Shohei Ohtani(ANA),56,Adolis García(TEX),55,Mookie Betts(LA),43,138
Brett,Paul Goldschmidt(STL),33,Yordan Alvarez(HOU),55,Alex Bregman(HOU),39,Bo Bichette(TOR),44,Trea Turner(PHI),21,127
Zee,Pete Alonso(NYM),49,Austin Riley(ATL),34,Mike Trout(ANA),38,Eloy Jiménez(CWS),27,Randy Arozarena(TB),48,121
Efran,Vladimir Guerrero Jr.(TOR),42,Francisco Lindor(NYM),44,Juan Soto(SD),34,Xander Bogaerts(SD),24,Gleyber Torres(NYY),28,120
Angelo,Nolan Arenado(STL),45,Kyle Schwarber(PHI),39,Dansby Swanson(CHC),30,Charlie Blackmon(COL),26,Trayce Thompson(LA),14,114
Wie,Matt Olson(ATL),50,Manny Machado(SD),26,C.J. Cron(COL),20,Giancarlo Stanton(NYY),13,Adam Duvall(BOS),14,96
