Name,Player1,RBI,Player2,RBI,Player3,RBI,Player4,RBI,Player5,RBI,TOTAL
Tom,José Ramírez(CLE),52,Kyle Tucker(HOU),51,Shohei Ohtani(ANA),67,Adolis García(TEX),66,Mookie Betts(LA),56,170
Gregg,Aaron Judge(NYY),40,Rafael Devers(BOS),64,Freddie Freeman(LA),54,Teoscar Hernández(SEA),48,José Abreu(HOU),41,158
Brett,Paul Goldschmidt(STL),46,Yordan Alvarez(HOU),55,Alex Bregman(HOU),53,Bo Bichette(TOR),49,Trea Turner(PHI),29,154
Efran,Vladimir Guerrero Jr.(TOR),52,Francisco Lindor(NYM),55,Juan Soto(SD),46,Xander Bogaerts(SD),28,Gleyber Torres(NYY),34,153
Zee,Pete Alonso(NYM),55,Austin Riley(ATL),43,Mike Trout(ANA),42,Eloy Jiménez(CWS),36,Randy Arozarena(TB),57,140
Angelo,Nolan Arenado(STL),54,Kyle Schwarber(PHI),47,Dansby Swanson(CHC),35,Charlie Blackmon(COL),26,Trayce Thompson(LA),14,136
Wie,Matt Olson(ATL),68,Manny Machado(SD),36,C.J. Cron(COL),21,Giancarlo Stanton(NYY),19,Adam Duvall(BOS),18,125
