Name,Player1,RBI,Player2,RBI,Player3,RBI,Player4,RBI,Player5,RBI,TOTAL
Gregg,Aaron Judge(NYY),39,Rafael Devers(BOS),46,Freddie Freeman(LA),35,Teoscar Hernández(SEA),28,José Abreu(HOU),20,120
Zee,Pete Alonso(NYM),46,Austin Riley(ATL),29,Mike Trout(ANA),31,Eloy Jiménez(CWS),20,Randy Arozarena(TB),40,106
Brett,Paul Goldschmidt(STL),26,Yordan Alvarez(HOU),48,Alex Bregman(HOU),29,Bo Bichette(TOR),38,Trea Turner(PHI),15,103
Efran,Vladimir Guerrero Jr.(TOR),35,Francisco Lindor(NYM),40,Juan Soto(SD),26,Xander Bogaerts(SD),20,Gleyber Torres(NYY),25,101
Tom,José Ramírez(CLE),29,Kyle Tucker(HOU),33,Shohei Ohtani(ANA),38,Adolis García(TEX),49,Mookie Betts(LA),32,100
Angelo,Nolan Arenado(STL),36,Kyle Schwarber(PHI),27,Dansby Swanson(CHC),23,Charlie Blackmon(COL),23,Trayce Thompson(LA),14,86
Wie,Matt Olson(ATL),42,Manny Machado(SD),19,C.J. Cron(COL),20,Giancarlo Stanton(Minors),11,Adam Duvall(Minors),14,81
