Name,P1 Name,P1 RBI,P2 Name,P2 RBI,P3 Name,P3 RBI,Total,P4 Name,P4 RBI,P5 Name,P5 RBI
Rob,Pete Alonso(NYM),12,Jose Ramirez(CLE),15,Franmil Reyes(CLE),2,29,Jared Walsh(LAA),6,Eloy Jimenez(CWS),7
Gregg,Manny Machado(SD),6,Nolan Arenado(STL),12,Giancarlo Stanton(NYY),8,26,Bo Bichette(TOR),1,Josh Bell(WSH),10
Tom,Vladimir Guerrero(TOR),10,Austin Riley(ATL),5,Kyle Tucker(HOU),4,19,Eugenio Suarez(SEA),4,Tyler O'Neill(STL),6
Randy,Rafael Devers(BOS),7,Xander Bogaerts(BOS),3,Rhys Hoskins(PHI),4,14,Alex Bregman(HOU),7,Matt Chapman(TOR),6
Wie,Jose Abreu(CWS),4,Yordan Alvarez(HOU),2,Ozzie Albies(ATL),8,14,Marcell Ozuna(ATL),7,Javier Baez(DET),4
Brett,Salvador Perez(KC),4,Adam Duvall(ATL),6,Joey Votto(CIN),2,12,Mitch Haniger(SEA),7,Austin Meadows(DET),2
Zee,Juan Soto(WSH),3,Mike Trout(LAA),2,Shohei Ohtani(LAA),6,11,Trea Turner(LAD),7,Luis Robert(CWS),3
Efran,Teoscar Hernandez(TOR),3,Nick Castellanos(PHI),6,Aaron Judge(NYY),1,10,Jorge Polanco(MIN),3,Jesus Aguilar(MIA),3
Chris,Bryce Harper(PHI),7,Freddie Freeman(LAD),1,Paul Goldschmidt(STL),1,9,George Springer(TOR),5,Mookie Betts(LAD),3
Kevin,Matt Olson(ATL),2,J.D. Martinez(BOS),4,Joey Gallo(NYY),0,6,Carlos Correa(MIN),1,Max Muncy(LAD),2
