Name,P1 Name,P1 RBI,P2 Name,P2 RBI,P3 Name,P3 RBI,Total,P4 Name,P4 RBI,P5 Name,P5 RBI
Rob,Pete Alonso(NYM),102,Jose Ramirez(CLE),99,Franmil Reyes(CHC),34,235,Jared Walsh(LAA),44,Eloy Jimenez(CWS),26
Tom,Vladimir Guerrero(TOR),75,Austin Riley(ATL),78,Kyle Tucker(HOU),81,234,Eugenio Suarez(SEA),68,Tyler O'Neill(STL),41
Chris,Mookie Betts(LAD),61,Freddie Freeman(LAD),73,Paul Goldschmidt(STL),96,230,George Springer(TOR),51,̶B̶r̶y̶c̶e̶ ̶H̶a̶r̶p̶e̶r(̶P̶H̶I),̶4̶8
Efran,Jorge Polanco(MIN),55,Nick Castellanos(PHI),56,Aaron Judge(NYY),102,213,̶T̶e̶o̶s̶c̶a̶r̶ ̶H̶e̶r̶n̶a̶n̶d̶e̶z(̶T̶O̶R),̶5̶8,Jesus Aguilar(MIA),48
Gregg,Manny Machado(SD),76,Nolan Arenado(STL),77,Josh Bell(SD),59,212,Bo Bichette(TOR),64,̶G̶i̶a̶n̶c̶a̶r̶l̶o̶ ̶S̶t̶a̶n̶t̶o̶n(̶N̶Y̶Y),̶6̶1
Zee,Trea Turner(LAD),83,Luis Robert(CWS),56,Shohei Ohtani(LAA),72,211,̶J̶u̶a̶n̶ ̶S̶o̶t̶o(̶S̶D),̶4̶9,̶M̶i̶k̶e̶ ̶T̶r̶o̶u̶t(̶L̶A̶A),̶5̶1
Wie,Jose Abreu(CWS),57,Yordan Alvarez(HOU),77,Marcell Ozuna(ATL),46,180,̶O̶z̶z̶i̶e̶ ̶A̶l̶b̶i̶e̶s(̶A̶T̶L),̶3̶3,Javier Baez(DET),45
Randy,Rafael Devers(BOS),63,Xander Bogaerts(BOS),49,Rhys Hoskins(PHI),59,171,Alex Bregman(HOU),72,Matt Chapman(TOR),60
Kevin,Matt Olson(ATL),80,J.D. Martinez(BOS),46,Carlos Correa(MIN),39,165,̶J̶o̶e̶y̶ ̶G̶a̶l̶l̶o(̶L̶A̶D),̶2̶9,Max Muncy(LAD),45
Brett,Salvador Perez(KC),53,Adam Duvall(ATL),36,Joey Votto(CIN),41,130,Mitch Haniger(SEA),11,Austin Meadows(DET),11
