Name,P1 Name,P1 RBI,P2 Name,P2 RBI,P3 Name,P3 RBI,Total,P4 Name,P4 RBI,P5 Name,P5 RBI
Gregg,Manny Machado(SD),21,Nolan Arenado(STL),23,Giancarlo Stanton(NYY),16,60,Bo Bichette(TOR),12,Josh Bell(WSH),19
Rob,Pete Alonso(NYM),21,Jose Ramirez(CLE),29,Franmil Reyes(CLE),8,58,Jared Walsh(LAA),18,Eloy Jimenez(CWS),7
Tom,Vladimir Guerrero Jr.(TOR),19,Austin Riley(ATL),14,Kyle Tucker(HOU),16,49,Eugenio Suarez(SEA),17,Tyler O'Neill(STL),19
Chris,Bryce Harper(PHI),17,Freddie Freeman(LAD),12,Paul Goldschmidt(STL),11,40,George Springer(TOR),12,Mookie Betts(LAD),8
Efran,Teoscar Hernandez(TOR),3,Nick Castellanos(PHI),15,Aaron Judge(NYY),19,37,Jorge Polanco(MIN),14,Jesus Aguilar(MIA),14
Wie,Jose Abreu(CWS),9,Yordan Alvarez(HOU),15,Ozzie Albies(ATL),12,36,Marcell Ozuna(ATL),10,Javier Baez(DET),11
Zee,Juan Soto(WSH),7,Mike Trout(LAA),13,Shohei Ohtani(LAA),14,34,Trea Turner(LAD),19,Luis Robert(CWS),8
Randy,Rafael Devers(BOS),10,Xander Bogaerts(BOS),10,Rhys Hoskins(PHI),9,29,Alex Bregman(HOU),16,Matt Chapman(TOR),14
Kevin,Matt Olson(ATL),11,J.D. Martinez(BOS),13,Joey Gallo(NYY),4,28,Carlos Correa(MIN),11,Max Muncy(LAD),11
Brett,Salvador Perez(KC),9,Adam Duvall(ATL),13,Joey Votto(CIN),3,25,Mitch Haniger(SEA),7,Austin Meadows(DET),11
