Name,Player1,RBI,Player2,RBI,Player3,RBI,Player4,RBI,Player5,RBI,TOTAL
Tom,Adolis García(TEX),80,Kyle Tucker(HOU),68,Shohei Ohtani(ANA),76,̶J̶o̶s̶é̶ ̶R̶a̶m̶í̶r̶e̶z(̶C̶L̶E),̶5̶6,Mookie Betts(LA),67,224
Gregg,Teoscar Hernández(SEA),55,Rafael Devers(BOS),73,Freddie Freeman(LA),70,̶A̶a̶r̶o̶n̶ ̶J̶u̶d̶g̶e(̶N̶Y̶Y),̶4̶0,José Abreu(HOU),50,198
Zee,Pete Alonso(NYM),63,Austin Riley(ATL),61,Randy Arozarena(TB),62,Eloy Jiménez(CWS),42,̶M̶i̶k̶e̶ ̶T̶r̶o̶u̶t(̶A̶N̶A),̶4̶4,186
Efrain,Vladimir Guerrero Jr.(TOR),62,Francisco Lindor(NYM),61,Juan Soto(SD),60,Xander Bogaerts(SD),36,Gleyber Torres(NYY),43,183
Angelo,Nolan Arenado(STL),76,Kyle Schwarber(PHI),61,Dansby Swanson(CHC),38,Charlie Blackmon(COL),26,Trayce Thompson(Minors),14,175
Brett,Bo Bichette(TOR),53,Yordan Alvarez(Minors),55,Alex Bregman(HOU),63,̶P̶a̶u̶l̶ ̶G̶o̶l̶d̶s̶c̶h̶m̶i̶d̶t(̶S̶T̶L),̶5̶0,Trea Turner(PHI),34,171
Wie,Matt Olson(ATL),80,Manny Machado(SD),57,Giancarlo Stanton(NYY),33,̶C̶.̶J̶.̶ ̶C̶r̶o̶n(̶C̶O̶L),̶3̶1,Adam Duvall(BOS),25,170
