Name,P1 Name,P1 RBI,P2 Name,P2 RBI,P3 Name,P3 RBI,Total,P4 Name,P4 RBI,P5 Name,P5 RBI
Rob,Pete Alonso(NYM),17,Jose Ramirez(CLE),28,Franmil Reyes(CLE),5,50,Jared Walsh(LAA),10,Eloy Jimenez(CWS),7
Gregg,Manny Machado(SD),13,Nolan Arenado(STL),17,Giancarlo Stanton(NYY),14,44,Bo Bichette(TOR),8,Josh Bell(WSH),15
Tom,Vladimir Guerrero(TOR),16,Austin Riley(ATL),12,Kyle Tucker(HOU),15,43,Eugenio Suarez(SEA),11,Tyler O'Neill(STL),12
Chris,Bryce Harper(PHI),14,Freddie Freeman(LAD),9,Paul Goldschmidt(STL),10,33,George Springer(TOR),10,Mookie Betts(LAD),5
Wie,Jose Abreu(CWS),6,Yordan Alvarez(HOU),11,Ozzie Albies(ATL),11,28,Marcell Ozuna(ATL),10,Javier Baez(DET),9
Efran,Teoscar Hernandez(TOR),3,Nick Castellanos(PHI),12,Aaron Judge(NYY),13,28,Jorge Polanco(MIN),8,Jesus Aguilar(MIA),6
Zee,Juan Soto(WSH),5,Mike Trout(LAA),10,Shohei Ohtani(LAA),11,26,Trea Turner(LAD),17,Luis Robert(CWS),3
Randy,Rafael Devers(BOS),9,Xander Bogaerts(BOS),8,Rhys Hoskins(PHI),6,23,Alex Bregman(HOU),13,Matt Chapman(TOR),12
Brett,Salvador Perez(KC),9,Adam Duvall(ATL),10,Joey Votto(CIN),3,22,Mitch Haniger(SEA),7,Austin Meadows(DET),9
Kevin,Matt Olson(ATL),6,J.D. Martinez(BOS),8,Joey Gallo(NYY),3,17,Carlos Correa(MIN),7,Max Muncy(LAD),9
