Name,P1 Name,P1 RBI,P2 Name,P2 RBI,P3 Name,P3 RBI,Total,P4 Name,P4 RBI,P5 Name,P5 RBI
Chris,Mookie Betts(LAD),59,Freddie Freeman(LAD),72,Paul Goldschmidt(STL),89,220,George Springer(TOR),49,̶B̶r̶y̶c̶e̶ ̶H̶a̶r̶p̶e̶r(̶P̶H̶I),̶4̶8
Rob,Pete Alonso(NYM),96,Jose Ramirez(CLE),92,Franmil Reyes(CHC),29,217,Jared Walsh(LAA),42,Eloy Jimenez(CWS),22
Tom,Vladimir Guerrero(TOR),68,Austin Riley(ATL),74,Kyle Tucker(HOU),74,216,Eugenio Suarez(SEA),59,Tyler O'Neill(STL),38
Efran,Jorge Polanco(MIN),54,Nick Castellanos(PHI),54,Aaron Judge(NYY),100,208,̶T̶e̶o̶s̶c̶a̶r̶ ̶H̶e̶r̶n̶a̶n̶d̶e̶z(̶T̶O̶R),̶5̶2,Jesus Aguilar(MIA),44
Zee,Trea Turner(LAD),83,Luis Robert(CWS),56,Shohei Ohtani(LAA),66,205,̶J̶u̶a̶n̶ ̶S̶o̶t̶o(̶S̶D),̶4̶8,̶M̶i̶k̶e̶ ̶T̶r̶o̶u̶t(̶L̶A̶A),̶5̶1
Gregg,Manny Machado(SD),67,Nolan Arenado(STL),73,Josh Bell(SD),59,199,Bo Bichette(TOR),64,̶G̶i̶a̶n̶c̶a̶r̶l̶o̶ ̶S̶t̶a̶n̶t̶o̶n(̶N̶Y̶Y),̶6̶1
Wie,Jose Abreu(CWS),55,Yordan Alvarez(HOU),74,Marcell Ozuna(ATL),46,175,̶O̶z̶z̶i̶e̶ ̶A̶l̶b̶i̶e̶s(̶A̶T̶L),̶3̶3,Javier Baez(DET),44
Randy,Rafael Devers(BOS),60,Xander Bogaerts(BOS),48,Rhys Hoskins(PHI),54,162,Alex Bregman(HOU),59,Matt Chapman(TOR),59
Kevin,Matt Olson(ATL),71,J.D. Martinez(BOS),46,Carlos Correa(MIN),37,154,̶J̶o̶e̶y̶ ̶G̶a̶l̶l̶o(̶L̶A̶D),̶2̶7,Max Muncy(LAD),40
Brett,Salvador Perez(KC),52,Adam Duvall(ATL),36,Joey Votto(CIN),41,129,Mitch Haniger(SEA),9,Austin Meadows(DET),11
