Name,P1 Name,P1 RBI,P2 Name,P2 RBI,P3 Name,P3 RBI,Total,P4 Name,P4 RBI,P5 Name,P5 RBI
Wie,Matt Olson(ATL),4,Manny Machado(SD),3,C.J. Cron(COL),7,14,Giancarlo Stanton(NYY),4,Adam Duvall(BOS),9
Tom,Jose Ramirez(CLE),2,Kyle Tucker(HOU),4,Shohei Ohtani(LAA),5,11,Adolis Garcia(TEX),3,Mookie Betts(LAD),1
Brett,Paul Goldschmidt(STL),2,Yordan Alvarez(HOU),9,Alex Bregman(HOU),0,11,Bo Bichette(TOR),2,Trea Turner(PHI),1
Efran,Vladimir Guerrero Jr.(TOR),4,Francisco Lindor(NYM),1,Juan Soto(SD),4,9,Xander Bogaerts(SD),5,Gleyber Torres(NYY),4
Angelo,Nolan Arenado(STL),5,Kyle Schwarber(PHI),1,Dansby Swanson(CHC),2,8,Charlie Blackmon(COL),3,Trayce Thompson(LAD),8
Gregg,Aaron Judge(NYY),4,Rafael Devers(BOS),2,Freddie Freeman(LAD),0,6,Teoscar Hernandez(SEA),0,Jose Abreu(HOU),3
Zee,Pete Alonso(NYM),2,Austin Riley(ATL),2,Mike Trout(LAA),2,6,Eloy Jimenez(CWS),3,Randy Arozarena(TB),3
