Name,Player1,RBI,Player2,RBI,Player3,RBI,Player4,RBI,Player5,RBI,TOTAL
Tom,Adolis García(TEX),84,Kyle Tucker(HOU),69,Shohei Ohtani(ANA),81,̶J̶o̶s̶é̶ ̶R̶a̶m̶í̶r̶e̶z(̶C̶L̶E),̶6̶0,Mookie Betts(LA),68,234
Gregg,Teoscar Hernández(SEA),58,Rafael Devers(BOS),76,Freddie Freeman(LA),73,̶A̶a̶r̶o̶n̶ ̶J̶u̶d̶g̶e(̶N̶Y̶Y),̶4̶2,José Abreu(HOU),56,207
Zee,Pete Alonso(NYM),73,Austin Riley(ATL),62,Randy Arozarena(TB),62,Eloy Jiménez(CWS),47,̶M̶i̶k̶e̶ ̶T̶r̶o̶u̶t(̶A̶N̶A),̶4̶4,197
Efrain,Vladimir Guerrero Jr.(TOR),65,Francisco Lindor(NYM),64,Juan Soto(SD),63,Xander Bogaerts(SD),36,Gleyber Torres(NYY),44,192
Angelo,Nolan Arenado(STL),77,Kyle Schwarber(PHI),65,Dansby Swanson(CHC),44,Charlie Blackmon(COL),26,Trayce Thompson(CWS),14,186
Brett,Bo Bichette(TOR),59,Yordan Alvarez(HOU),56,Alex Bregman(HOU),68,̶P̶a̶u̶l̶ ̶G̶o̶l̶d̶s̶c̶h̶m̶i̶d̶t(̶S̶T̶L),̶5̶5,Trea Turner(PHI),34,183
Wie,Matt Olson(ATL),83,Manny Machado(SD),62,Giancarlo Stanton(NYY),35,̶C̶.̶J̶.̶ ̶C̶r̶o̶n(̶C̶O̶L),̶3̶2,Adam Duvall(BOS),28,180
