Name,Player1,RBI,Player2,RBI,Player3,RBI,Player4,RBI,Player5,RBI,TOTAL
Tom,José Ramírez(CLE),53,Kyle Tucker(HOU),56,Shohei Ohtani(ANA),71,Adolis García(TEX),73,Mookie Betts(LA),62,180
Gregg,Aaron Judge(NYY),40,Rafael Devers(BOS),70,Freddie Freeman(LA),61,Teoscar Hernández(SEA),49,José Abreu(HOU),45,171
Efran,Vladimir Guerrero Jr.(TOR),58,Francisco Lindor(NYM),60,Juan Soto(SD),47,Xander Bogaerts(SD),35,Gleyber Torres(NYY),36,165
Brett,Paul Goldschmidt(STL),46,Yordan Alvarez(HOU),55,Alex Bregman(HOU),56,Bo Bichette(TOR),52,Trea Turner(PHI),32,157
Zee,Pete Alonso(NYM),61,Austin Riley(ATL),44,Mike Trout(ANA),44,Eloy Jiménez(CWS),40,Randy Arozarena(TB),58,149
Angelo,Nolan Arenado(STL),62,Kyle Schwarber(PHI),49,Dansby Swanson(CHC),36,Charlie Blackmon(COL),26,Trayce Thompson(LA),14,147
Wie,Matt Olson(ATL),71,Manny Machado(SD),44,C.J. Cron(COL),23,Giancarlo Stanton(NYY),23,Adam Duvall(BOS),21,138
