Name,Player1,RBI,Player2,RBI,Player3,RBI,Player4,RBI,Player5,RBI,TOTAL
Tom,Adolis García(TEX),79,Kyle Tucker(HOU),60,Shohei Ohtani(ANA),72,̶J̶o̶s̶é̶ ̶R̶a̶m̶í̶r̶e̶z(̶C̶L̶E),̶5̶3,Mookie Betts(LA),64,211
Gregg,Teoscar Hernández(SEA),50,Rafael Devers(BOS),72,Freddie Freeman(LA),63,̶A̶a̶r̶o̶n̶ ̶J̶u̶d̶g̶e(̶N̶Y̶Y),̶4̶0,José Abreu(HOU),49,185
Efrain,Vladimir Guerrero Jr.(TOR),59,Francisco Lindor(NYM),60,Juan Soto(SD),50,Xander Bogaerts(SD),35,Gleyber Torres(NYY),37,169
Brett,Bo Bichette(TOR),53,Yordan Alvarez(Minors),55,Alex Bregman(HOU),56,̶P̶a̶u̶l̶ ̶G̶o̶l̶d̶s̶c̶h̶m̶i̶d̶t(̶S̶T̶L),̶4̶7,Trea Turner(PHI),34,164
Wie,Matt Olson(ATL),76,Manny Machado(SD),51,Giancarlo Stanton(NYY),29,̶C̶.̶J̶.̶ ̶C̶r̶o̶n(̶C̶O̶L),̶2̶4,Adam Duvall(BOS),24,156
Angelo,Nolan Arenado(STL),64,Kyle Schwarber(PHI),54,Dansby Swanson(CHC),36,Charlie Blackmon(COL),26,Trayce Thompson(LA),14,154
Zee,Pete Alonso(NYM),61,Austin Riley(ATL),45,Mike Trout(ANA),44,Eloy Jiménez(CWS),40,Randy Arozarena(TB),59,150
