Name,Player1,RBI,Player2,RBI,Player3,RBI,Player4,RBI,Player5,RBI,TOTAL
Tom,Adolis García(TEX),89,Kyle Tucker(HOU),88,Shohei Ohtani(ANA),83,̶J̶o̶s̶é̶ ̶R̶a̶m̶í̶r̶e̶z(̶C̶L̶E),̶6̶5,Mookie Betts(LA),78,260
Zee,Pete Alonso(NYM),87,Austin Riley(ATL),75,Randy Arozarena(TB),68,Eloy Jiménez(CWS),50,̶M̶i̶k̶e̶ ̶T̶r̶o̶u̶t(̶A̶N̶A),̶4̶4,230
Gregg,Teoscar Hernández(SEA),60,Rafael Devers(BOS),79,Freddie Freeman(LA),83,̶A̶a̶r̶o̶n̶ ̶J̶u̶d̶g̶e(̶N̶Y̶Y),̶4̶5,José Abreu(HOU),56,222
Wie,Matt Olson(ATL),105,Manny Machado(SD),67,Giancarlo Stanton(NYY),44,̶C̶.̶J̶.̶ ̶C̶r̶o̶n(̶A̶N̶A),̶3̶7,Adam Duvall(BOS),31,216
Efrain,Vladimir Guerrero Jr.(TOR),70,Francisco Lindor(NYM),69,Juan Soto(SD),75,Xander Bogaerts(SD),40,Gleyber Torres(NYY),49,214
Angelo,Nolan Arenado(STL),82,Kyle Schwarber(PHI),73,Dansby Swanson(CHC),58,Charlie Blackmon(Minors),26,Trayce Thompson(CWS),14,213
Brett,Bo Bichette(TOR),59,Yordan Alvarez(HOU),64,Alex Bregman(HOU),75,̶P̶a̶u̶l̶ ̶G̶o̶l̶d̶s̶c̶h̶m̶i̶d̶t(̶S̶T̶L),̶5̶9,Trea Turner(PHI),44,198
