Name,Player1,RBI,Player2,RBI,Player3,RBI,Player4,RBI,Player5,RBI,TOTAL
Zee,Pete Alonso(NYM),29,Austin Riley(ATL),18,Mike Trout(ANA),20,Eloy Jiménez(CWS),15,Randy Arozarena(TB),30,67
Efran,Vladimir Guerrero Jr.(TOR),21,Francisco Lindor(NYM),25,Juan Soto(SD),17,Xander Bogaerts(SD),14,Gleyber Torres(NYY),11,63
Gregg,Aaron Judge(NYY),14,Rafael Devers(BOS),34,Freddie Freeman(LA),14,Teoscar Hernández(SEA),16,José Abreu(HOU),13,62
Brett,Paul Goldschmidt(STL),16,Yordan Alvarez(HOU),31,Alex Bregman(HOU),15,Bo Bichette(TOR),22,Trea Turner(PHI),9,62
Tom,José Ramírez(CLE),17,Kyle Tucker(HOU),23,Shohei Ohtani(ANA),19,Adolis García(TEX),33,Mookie Betts(LA),18,59
Wie,Matt Olson(ATL),26,Manny Machado(SD),13,C.J. Cron(COL),16,Giancarlo Stanton(NYY),11,Adam Duvall(BOS),14,55
Angelo,Nolan Arenado(STL),17,Kyle Schwarber(PHI),13,Dansby Swanson(CHC),9,Charlie Blackmon(COL),12,Trayce Thompson(LA),11,39
