Name,Player1,RBI,Player2,RBI,Player3,RBI,Player4,RBI,Player5,RBI,TOTAL
Tom,Adolis García(TEX),100,Kyle Tucker(HOU),105,Mookie Betts(LA),103,̶J̶o̶s̶é̶ ̶R̶a̶m̶í̶r̶e̶z(̶C̶L̶E),̶7̶6,̶S̶h̶o̶h̶e̶i̶ ̶O̶h̶t̶a̶n̶i(̶A̶N̶A),̶9̶5,308
Zee,Pete Alonso(NYM),112,Austin Riley(ATL),90,Randy Arozarena(TB),81,Eloy Jiménez(CWS),60,̶M̶i̶k̶e̶ ̶T̶r̶o̶u̶t(̶A̶N̶A),̶4̶4,283
Gregg,Teoscar Hernández(SEA),89,Rafael Devers(BOS),97,Freddie Freeman(LA),93,̶A̶a̶r̶o̶n̶ ̶J̶u̶d̶g̶e(̶N̶Y̶Y),̶6̶3,José Abreu(HOU),79,279
Wie,Matt Olson(ATL),129,Manny Machado(SD),84,Giancarlo Stanton(NYY),58,̶C̶.̶J̶.̶ ̶C̶r̶o̶n(̶A̶N̶A),̶3̶7,Adam Duvall(BOS),52,271
Efrain,Vladimir Guerrero Jr.(TOR),90,Francisco Lindor(NYM),87,Juan Soto(SD),92,Xander Bogaerts(SD),51,Gleyber Torres(NYY),65,269
Angelo,Nolan Arenado(STL),90,Kyle Schwarber(PHI),97,Dansby Swanson(CHC),74,Charlie Blackmon(COL),36,Trayce Thompson(CWS),16,261
Brett,Bo Bichette(TOR),65,Yordan Alvarez(HOU),91,Alex Bregman(HOU),95,̶P̶a̶u̶l̶ ̶G̶o̶l̶d̶s̶c̶h̶m̶i̶d̶t(̶S̶T̶L),̶7̶5,Trea Turner(PHI),75,251
