Name,Player1,RBI,Player2,RBI,Player3,RBI,Player4,RBI,Player5,RBI,TOTAL
Tom,José Ramírez(CLE),46,Kyle Tucker(HOU),42,Shohei Ohtani(ANA),60,Adolis García(TEX),60,Mookie Betts(LA),45,148
Gregg,Aaron Judge(NYY),40,Rafael Devers(BOS),60,Freddie Freeman(LA),47,Teoscar Hernández(SEA),43,José Abreu(HOU),34,147
Brett,Paul Goldschmidt(STL),39,Yordan Alvarez(HOU),55,Alex Bregman(HOU),48,Bo Bichette(TOR),46,Trea Turner(PHI),25,142
Efran,Vladimir Guerrero Jr.(TOR),48,Francisco Lindor(NYM),51,Juan Soto(SD),40,Xander Bogaerts(SD),27,Gleyber Torres(NYY),30,139
Zee,Pete Alonso(NYM),52,Austin Riley(ATL),38,Mike Trout(ANA),41,Eloy Jiménez(CWS),30,Randy Arozarena(TB),54,131
Angelo,Nolan Arenado(STL),50,Kyle Schwarber(PHI),41,Dansby Swanson(CHC),33,Charlie Blackmon(COL),26,Trayce Thompson(LA),14,124
Wie,Matt Olson(ATL),57,Manny Machado(SD),33,C.J. Cron(Minors),20,Giancarlo Stanton(NYY),13,Adam Duvall(BOS),17,110
