Name,Player1,RBI,Player2,RBI,Player3,RBI,Player4,RBI,Player5,RBI,TOTAL
Tom,Adolis García(TEX),94,Kyle Tucker(HOU),95,Shohei Ohtani(ANA),92,̶J̶o̶s̶é̶ ̶R̶a̶m̶í̶r̶e̶z(̶C̶L̶E),̶6̶9,Mookie Betts(LA),90,281
Gregg,Teoscar Hernández(SEA),75,Rafael Devers(BOS),88,Freddie Freeman(LA),86,̶A̶a̶r̶o̶n̶ ̶J̶u̶d̶g̶e(̶N̶Y̶Y),̶5̶5,José Abreu(HOU),59,249
Zee,Pete Alonso(NYM),95,Austin Riley(ATL),78,Randy Arozarena(TB),72,Eloy Jiménez(CWS),53,̶M̶i̶k̶e̶ ̶T̶r̶o̶u̶t(̶A̶N̶A),̶4̶4,245
Wie,Matt Olson(ATL),112,Manny Machado(SD),76,Giancarlo Stanton(NYY),49,̶C̶.̶J̶.̶ ̶C̶r̶o̶n(̶A̶N̶A),̶3̶7,Adam Duvall(BOS),46,237
Angelo,Nolan Arenado(STL),87,Kyle Schwarber(PHI),83,Dansby Swanson(CHC),65,Charlie Blackmon(COL),32,Trayce Thompson(CWS),16,235
Efrain,Vladimir Guerrero Jr.(TOR),74,Francisco Lindor(NYM),79,Juan Soto(SD),78,Xander Bogaerts(SD),45,Gleyber Torres(NYY),53,231
Brett,Bo Bichette(TOR),62,Yordan Alvarez(HOU),69,Alex Bregman(HOU),87,̶P̶a̶u̶l̶ ̶G̶o̶l̶d̶s̶c̶h̶m̶i̶d̶t(̶S̶T̶L),̶6̶8,Trea Turner(PHI),50,218
