Name,Player1,RBI,Player2,RBI,Player3,RBI,Player4,RBI,Player5,RBI,TOTAL
Tom,Adolis García(TEX),92,Kyle Tucker(HOU),92,Shohei Ohtani(ANA),89,̶J̶o̶s̶é̶ ̶R̶a̶m̶í̶r̶e̶z(̶C̶L̶E),̶6̶6,Mookie Betts(LA),86,273
Zee,Pete Alonso(NYM),93,Austin Riley(ATL),77,Randy Arozarena(TB),70,Eloy Jiménez(CWS),50,̶M̶i̶k̶e̶ ̶T̶r̶o̶u̶t(̶A̶N̶A),̶4̶4,240
Gregg,Teoscar Hernández(SEA),66,Rafael Devers(BOS),84,Freddie Freeman(LA),83,̶A̶a̶r̶o̶n̶ ̶J̶u̶d̶g̶e(̶N̶Y̶Y),̶4̶8,José Abreu(HOU),56,233
Wie,Matt Olson(ATL),108,Manny Machado(SD),72,Giancarlo Stanton(NYY),45,̶C̶.̶J̶.̶ ̶C̶r̶o̶n(̶A̶N̶A),̶3̶7,Adam Duvall(BOS),35,225
Angelo,Nolan Arenado(STL),85,Kyle Schwarber(PHI),78,Dansby Swanson(CHC),60,Charlie Blackmon(COL),30,Trayce Thompson(CWS),14,223
Efrain,Vladimir Guerrero Jr.(TOR),72,Francisco Lindor(NYM),75,Juan Soto(SD),75,Xander Bogaerts(SD),42,Gleyber Torres(NYY),49,222
Brett,Bo Bichette(TOR),60,Yordan Alvarez(HOU),64,Alex Bregman(HOU),80,̶P̶a̶u̶l̶ ̶G̶o̶l̶d̶s̶c̶h̶m̶i̶d̶t(̶S̶T̶L),̶6̶2,Trea Turner(PHI),46,204
