Name,Player1,RBI,Player2,RBI,Player3,RBI,Player4,RBI,Player5,RBI,TOTAL
Tom,Adolis García(TEX),99,Kyle Tucker(HOU),98,Shohei Ohtani(ANA),95,̶J̶o̶s̶é̶ ̶R̶a̶m̶í̶r̶e̶z(̶C̶L̶E),̶7̶1,Mookie Betts(LA),98,292
Gregg,Teoscar Hernández(SEA),84,Rafael Devers(BOS),90,Freddie Freeman(LA),89,̶A̶a̶r̶o̶n̶ ̶J̶u̶d̶g̶e(̶N̶Y̶Y),̶5̶8,José Abreu(HOU),63,263
Zee,Pete Alonso(NYM),96,Austin Riley(ATL),83,Randy Arozarena(TB),77,Eloy Jiménez(CWS),53,̶M̶i̶k̶e̶ ̶T̶r̶o̶u̶t(̶A̶N̶A),̶4̶4,256
Efrain,Vladimir Guerrero Jr.(TOR),80,Francisco Lindor(NYM),81,Juan Soto(SD),82,Xander Bogaerts(SD),46,Gleyber Torres(NYY),57,243
Wie,Matt Olson(ATL),112,Manny Machado(SD),78,Giancarlo Stanton(NYY),53,̶C̶.̶J̶.̶ ̶C̶r̶o̶n(̶A̶N̶A),̶3̶7,Adam Duvall(BOS),50,243
Angelo,Nolan Arenado(STL),87,Kyle Schwarber(PHI),88,Dansby Swanson(CHC),66,Charlie Blackmon(COL),35,Trayce Thompson(CWS),16,241
Brett,Bo Bichette(TOR),62,Yordan Alvarez(HOU),77,Alex Bregman(HOU),90,̶P̶a̶u̶l̶ ̶G̶o̶l̶d̶s̶c̶h̶m̶i̶d̶t(̶S̶T̶L),̶7̶0,Trea Turner(PHI),64,229
