Name,Player1,RBI,Player2,RBI,Player3,RBI,Player4,RBI,Player5,RBI,TOTAL
Gregg,Aaron Judge(NYY),32,Rafael Devers(BOS),44,Freddie Freeman(LA),27,Teoscar Hernández(SEA),24,José Abreu(HOU),17,103
Tom,José Ramírez(CLE),22,Kyle Tucker(HOU),33,Shohei Ohtani(ANA),32,Adolis García(TEX),49,Mookie Betts(LA),28,87
Zee,Pete Alonso(NYM),41,Austin Riley(ATL),22,Mike Trout(ANA),23,Eloy Jiménez(CWS),15,Randy Arozarena(TB),36,86
Brett,Paul Goldschmidt(STL),23,Yordan Alvarez(HOU),41,Alex Bregman(HOU),22,Bo Bichette(TOR),30,Trea Turner(PHI),10,86
Efran,Vladimir Guerrero Jr.(TOR),27,Francisco Lindor(NYM),32,Juan Soto(SD),21,Xander Bogaerts(SD),16,Gleyber Torres(NYY),21,80
Angelo,Nolan Arenado(STL),34,Kyle Schwarber(PHI),23,Dansby Swanson(CHC),18,Charlie Blackmon(COL),17,Trayce Thompson(LA),12,75
Wie,Matt Olson(ATL),34,Manny Machado(SD),19,C.J. Cron(COL),20,Giancarlo Stanton(NYY),11,Adam Duvall(BOS),14,73
