Name,P1 Name,P1 RBI,P2 Name,P2 RBI,P3 Name,P3 RBI,Total,P4 Name,P4 RBI
Brett,José Abreu(Chicago),23,Matt Olson(Oakland),20,J.D. Martinez(Boston),31,74,Michael A. Taylor(Kansas City),8
Dave,Manny Machado(San Diego),17,Nolan Arenado(St. Louis),22,Yordan Álvarez(Houston),18,57,Paul Goldschmidt(St. Louis),17
Kevin,Pete Alonso(New York),17,Fernando Tatis Jr.(San Diego),12,Ronald Acuna Jr.(Atlanta),22,51,Mike Moustakas(Cincinnati),9
Tom,Marcell Ozuna(Atlanta),20,Eugenio Suarez(Cincinnati),12,Charlie Blackmon(Colorado),17,49,Jorge Soler(Kansas City),16
Efran,Gleyber Torres(New York),7,Javier Baez(Chicago),25,Jose Ramirez(Cleveland),17,49,Trea Turner(Washington),13
Arnie,Juan Soto(Washington),10,Corey Seager(Los Angeles),18,Eddie Rosario(Cleveland),19,47,Eric Hosmer(San Diego),19
Angelo,Vladimir Guerrero Jr.(Toronto),22,Francisco Lindor(New York),5,Aaron Judge(New York),18,45,George Springer(Toronto),3
Rob,Bryce Harper(Philadelphia),10,Rafael Devers(Boston),24,Michael Conforto(New York),10,44,Giancarlo Stanton(New York),23
Gregg,Mike Trout(Los Angeles),18,Mookie Betts(Los Angeles),7,Rhys Hoskins(Philadelphia),18,43,Matt Chapman(Oakland),14
Zee,Anthony Rendon(Los Angeles),11,Nelson Cruz(Minnesota),21,Josh Bell(Washington),10,42,Franmil Reyes(Cleveland),22
Wie,Freddie Freeman(Atlanta),18,Christian Yelich(Milwaukee),1,Alex Bregman(Houston),18,37,Kyle Tucker(Houston),16
Randy,Cody Bellinger(Los Angeles),2,Joey Gallo(Texas),13,Xander Bogaerts(Boston),18,33,Carlos Correa(Houston),16
