Name,P1 Name,P1 RBI,P2 Name,P2 RBI,P3 Name,P3 RBI,Total,P4 Name,P4 RBI,P5 Name,P5 RBI
Gregg,Aaron Judge(NYY),3,Rafael Devers(BOS),1,Freddie Freeman(LAD),0,4,Teoscar Hernandez(SEA),0,Jose Abreu(HOU),1
Tom,Jose Ramirez(CLE),0,Kyle Tucker(HOU),4,Shohei Ohtani(LAA),2,6,Adolis Garcia(TEX),3,Mookie Betts(LAD),1
Brett,Paul Goldschmidt(STL),1,Yordan Alvarez(HOU),5,Alex Bregman(HOU),0,6,Bo Bichette(TOR),1,Trea Turner(PHI),1
Wie,Matt Olson(ATL),3,Manny Machado(SD),2,C.J. Cron(COL),7,12,Giancarlo Stanton(NYY),1,Adam Duvall(BOS),6
Zee,Pete Alonso(NYM),2,Austin Riley(ATL),1,Mike Trout(LAA),0,3,Eloy Jimenez(CWS),3,Randy Arozarena(TB),2
Efran,Vladimir Guerrero Jr.(TOR),3,Francisco Lindor(NYM),1,Juan Soto(SD),2,6,Xander Bogaerts(SD),3,Gleyber Torres(NYY),2
Angelo,Nolan Arenado(STL),3,Kyle Schwarber(PHI),1,Dansby Swanson(CHC),1,5,Charlie Blackmon(COL),3,Trayce Thompson(LAD),8
