Name,P1 Name,P1 RBI,P2 Name,P2 RBI,P3 Name,P3 RBI,Total,P4 Name,P4 RBI,P5 Name,P5 RBI
Chris,Mookie Betts(LAD),67,Freddie Freeman(LAD),80,Paul Goldschmidt(STL),105,252,George Springer(TOR),56,̶B̶r̶y̶c̶e̶ ̶H̶a̶r̶p̶e̶r(̶P̶H̶I),̶5̶0
Rob,Pete Alonso(NYM),105,Jose Ramirez(CLE),106,Franmil Reyes(CHC),36,247,Jared Walsh(LAA),44,Eloy Jimenez(CWS),28
Tom,Vladimir Guerrero(TOR),78,Austin Riley(ATL),83,Kyle Tucker(HOU),82,243,Eugenio Suarez(SEA),72,Tyler O'Neill(STL),47
Efran,Jorge Polanco(MIN),56,Nick Castellanos(PHI),61,Aaron Judge(NYY),109,226,̶T̶e̶o̶s̶c̶a̶r̶ ̶H̶e̶r̶n̶a̶n̶d̶e̶z(̶T̶O̶R),̶5̶9,Jesus Aguilar(MIA),49
Gregg,Manny Machado(SD),77,Nolan Arenado(STL),84,Josh Bell(SD),63,224,Bo Bichette(TOR),66,̶G̶i̶a̶n̶c̶a̶r̶l̶o̶ ̶S̶t̶a̶n̶t̶o̶n(̶N̶Y̶Y),̶6̶4
Zee,Trea Turner(LAD),86,Luis Robert(CWS),56,Shohei Ohtani(LAA),75,217,̶J̶u̶a̶n̶ ̶S̶o̶t̶o(̶S̶D),̶5̶0,̶M̶i̶k̶e̶ ̶T̶r̶o̶u̶t(̶L̶A̶A),̶5̶6
Wie,Jose Abreu(CWS),60,Yordan Alvarez(HOU),80,Marcell Ozuna(ATL),46,186,̶O̶z̶z̶i̶e̶ ̶A̶l̶b̶i̶e̶s(̶A̶T̶L),̶3̶3,Javier Baez(DET),47
Randy,Rafael Devers(BOS),65,Xander Bogaerts(BOS),53,Rhys Hoskins(PHI),65,183,Alex Bregman(HOU),75,Matt Chapman(TOR),62
Kevin,Matt Olson(ATL),87,J.D. Martinez(BOS),48,Carlos Correa(MIN),43,178,̶J̶o̶e̶y̶ ̶G̶a̶l̶l̶o(̶L̶A̶D),̶3̶1,Max Muncy(LAD),51
Brett,Salvador Perez(KC),58,Adam Duvall(ATL),36,Joey Votto(CIN),41,135,Mitch Haniger(SEA),18,Austin Meadows(DET),11
