Name,P1 Name,P1 RBI,P2 Name,P2 RBI,P3 Name,P3 RBI,Total,P4 Name,P4 RBI,P5 Name,P5 RBI
Tom,Vladimir Guerrero(TOR),57,Austin Riley(ATL),61,Kyle Tucker(HOU),61,179,Eugenio Suarez(SEA),50,Tyler O'Neill(STL),28
Rob,Pete Alonso(NYM),77,Jose Ramirez(CLE),75,Franmil Reyes(CLE),26,178,Jared Walsh(LAA),41,Eloy Jimenez(CWS),13
Chris,Bryce Harper(PHI),48,Freddie Freeman(LAD),59,Paul Goldschmidt(STL),70,177,George Springer(TOR),42,Mookie Betts(LAD),47
Gregg,Manny Machado(SD),51,Nolan Arenado(STL),59,Giancarlo Stanton(NYY),61,171,Bo Bichette(TOR),49,Josh Bell(WSH),50
Efran,Teoscar Hernandez(TOR),43,Nick Castellanos(PHI),46,Aaron Judge(NYY),69,158,Jorge Polanco(MIN),48,Jesus Aguilar(MIA),37
Zee,Juan Soto(WSH),42,Mike Trout(LAA),51,Shohei Ohtani(LAA),56,149,Trea Turner(LAD),68,Luis Robert(CWS),54
Wie,Jose Abreu(CWS),46,Yordan Alvarez(HOU),60,Marcell Ozuna(ATL),37,143,̶O̶z̶z̶i̶e̶ ̶A̶l̶b̶i̶e̶s(̶A̶T̶L),̶3̶3,Javier Baez(DET),35
Randy,Rafael Devers(BOS),55,Xander Bogaerts(BOS),37,Rhys Hoskins(PHI),44,136,Alex Bregman(HOU),46,Matt Chapman(TOR),45
Kevin,Matt Olson(ATL),59,J.D. Martinez(BOS),38,Carlos Correa(MIN),33,130,̶J̶o̶e̶y̶ ̶G̶a̶l̶l̶o(̶N̶Y̶Y),̶2̶1,Max Muncy(LAD),30
Brett,Salvador Perez(KC),34,Adam Duvall(ATL),35,Joey Votto(CIN),30,99,Mitch Haniger(SEA),7,Austin Meadows(DET),11
