Name,P1 Name,P1 RBI,P2 Name,P2 RBI,P3 Name,P3 RBI,Total,P4 Name,P4 RBI,P5 Name,P5 RBI
Chris,Bryce Harper(PHI),48,Freddie Freeman(LAD),49,Paul Goldschmidt(STL),65,162,George Springer(TOR),38,Mookie Betts(LAD),40
Gregg,Manny Machado(SD),46,Nolan Arenado(STL),55,Giancarlo Stanton(NYY),53,154,Bo Bichette(TOR),43,Josh Bell(WSH),46
Tom,Vladimir Guerrero(TOR),51,Austin Riley(ATL),48,Kyle Tucker(HOU),53,152,Eugenio Suarez(SEA),38,Tyler O'Neill(STL),28
Rob,Pete Alonso(NYM),69,Jose Ramirez(CLE),63,Franmil Reyes(CLE),17,149,Jared Walsh(LAA),40,Eloy Jimenez(CWS),7
Efran,Teoscar Hernandez(TOR),31,Nick Castellanos(PHI),41,Aaron Judge(NYY),59,131,Jorge Polanco(MIN),37,Jesus Aguilar(MIA),34
Zee,Juan Soto(WSH),33,Mike Trout(LAA),47,Shohei Ohtani(LAA),50,130,Trea Turner(LAD),57,Luis Robert(CWS),38
Wie,Jose Abreu(CWS),35,Yordan Alvarez(HOU),56,Ozzie Albies(ATL),33,124,Marcell Ozuna(ATL),32,Javier Baez(DET),26
Randy,Rafael Devers(BOS),45,Xander Bogaerts(BOS),31,Rhys Hoskins(PHI),41,117,Alex Bregman(HOU),40,Matt Chapman(TOR),36
Kevin,Matt Olson(ATL),43,J.D. Martinez(BOS),33,Joey Gallo(NYY),18,94,Carlos Correa(MIN),29,Max Muncy(LAD),23
Brett,Salvador Perez(KC),34,Adam Duvall(ATL),32,Joey Votto(CIN),25,91,Mitch Haniger(SEA),7,Austin Meadows(DET),11
