Name,P1 Name,P1 RBI,P2 Name,P2 RBI,P3 Name,P3 RBI,Total,P4 Name,P4 RBI
Brett,Jose Abreu(CWS),53,Matt Olson(OAK),52,J.D. Martinez(BOS),44,149,Michael A. Taylor(KC),22
Kevin,Pete Alonso(NYM),34,Fernando Tatis Jr.(SD),50,Ronald Acuna Jr.(ATL),43,127,Mike Moustakas(CIN),13
Dave,Manny Machado(SD),44,Nolan Arenado(STL),44,Yordan Alvarez(HOU),36,124,Paul Goldschmidt(STL),34
Angelo,Vladimir Guerrero Jr.(TOR),59,Francisco Lindor(NYM),21,Aaron Judge(NYY),36,116,George Springer(TOR),3
Efran,Gleyber Torres(NYY),23,Javier Baez(CHC),44,Jose Ramirez(CLE),44,111,Trea Turner(WSH),32
Tom,Marcell Ozuna(ATL),26,Eugenio Suarez(CIN),38,Charlie Blackmon(COL),37,101,Jorge Soler(KC),28
Zee,Anthony Rendon(LAA),30,Nelson Cruz(MIN),37,Josh Bell(WSH),26,93,Franmil Reyes(CLE),29
Wie,Freddie Freeman(ATL),40,Christian Yelich(MIL),17,Alex Bregman(HOU),34,91,Kyle Tucker(HOU),43
Arnie,Juan Soto(WSH),29,Corey Seager(LAD),22,Eddie Rosario(CLE),39,90,Eric Hosmer(SD),35
Gregg,Mike Trout(LAA),18,Mookie Betts(LAD),27,Rhys Hoskins(PHI),42,87,Matt Chapman(OAK),32
Rob,Bryce Harper(PHI),18,Rafael Devers(BOS),56,Michael Conforto(NYM),13,87,Giancarlo Stanton(NYY),36
Randy,Cody Bellinger(LAD),10,Joey Gallo(TEX),31,Xander Bogaerts(BOS),42,83,Carlos Correa(HOU),39
