Name,P1 Name,P1 RBI,P2 Name,P2 RBI,P3 Name,P3 RBI,Total,P4 Name,P4 RBI
Brett,José Abreu(Chicago),10,Matt Olson(Oakland),8,J.D. Martinez(Boston),17,35,Michael A. Taylor(Kansas City),6
Dave,Manny Machado(San Diego),8,Nolan Arenado(St. Louis),10,Yordan Álvarez(Houston),8,26,Paul Goldschmidt(St. Louis),5
Arnie,Juan Soto(Washington),8,Corey Seager(Los Angeles),10,Eddie Rosario(Cleveland),8,26,Eric Hosmer(San Diego),12
Kevin,Pete Alonso(New York),7,Fernando Tatis Jr.(San Diego),2,Ronald Acuna Jr.(Atlanta),16,25,Mike Moustakas(Cincinnati),5
Rob,Bryce Harper(Philadelphia),6,Rafael Devers(Boston),14,Michael Conforto(New York),3,23,Giancarlo Stanton(New York),11
Angelo,Vladimir Guerrero Jr.(Toronto),11,Francisco Lindor(New York),2,Aaron Judge(New York),8,21,George Springer(NO STATS),0
Efran,Gleyber Torres(New York),1,Javier Baez(Chicago),11,Jose Ramirez(Cleveland),7,19,Trea Turner(Washington),5
Tom,Marcell Ozuna(Atlanta),7,Eugenio Suarez(Cincinnati),5,Charlie Blackmon(Colorado),6,18,Jorge Soler(Kansas City),4
Gregg,Mike Trout(Los Angeles),10,Mookie Betts(Los Angeles),2,Rhys Hoskins(Philadelphia),5,17,Matt Chapman(Oakland),10
Wie,Freddie Freeman(Atlanta),9,Christian Yelich(Milwaukee),1,Alex Bregman(Houston),6,16,Kyle Tucker(Houston),11
Zee,Anthony Rendon(Los Angeles),3,Nelson Cruz(Minnesota),10,Josh Bell(Washington),2,15,Franmil Reyes(Cleveland),8
Randy,Cody Bellinger(Los Angeles),2,Joey Gallo(Texas),5,Xander Bogaerts(Boston),4,11,Carlos Correa(Houston),6
