Name,P1 Name,P1 RBI,P2 Name,P2 RBI,P3 Name,P3 RBI,Total,P4 Name,P4 RBI
Brett,Jose Abreu(CWS),92,Matt Olson(OAK),81,J.D. Martinez(BOS),79,252,Michael A. Taylor(KC),42
Dave,Manny Machado(SD),83,Nolan Arenado(STL),80,Yordan Alvarez(HOU),84,247,Paul Goldschmidt(STL),70
Rob,Bryce Harper(PHI),52,Rafael Devers(BOS),89,Giancarlo Stanton(NYY),61,202,Michael Conforto(NYM),30
Kevin,Pete Alonso(NYM),73,Fernando Tatis Jr.(SD),76,Ronald Acuna Jr.(ATL),52,201,Mike Moustakas(CIN),15
Efran,Trea Turner(LAD),54,Javier Baez(NYM),68,Jose Ramirez(CLE),79,201,Gleyber Torres(NYY),42
Randy,Carlos Correa(HOU),66,Joey Gallo(NYY),63,Xander Bogaerts(BOS),69,198,Cody Bellinger(LAD),29
Zee,Franmil Reyes(CLE),60,Nelson Cruz(TB),68,Josh Bell(WSH),66,194,Anthony Rendon(LAA),34
Angelo,Vladimir Guerrero Jr.(TOR),89,Francisco Lindor(NYM),36,Aaron Judge(NYY),65,190,George Springer(TOR),35
Wie,Freddie Freeman(ATL),70,Christian Yelich(MIL),38,Kyle Tucker(HOU),71,179,Alex Bregman(HOU),34
Arnie,Juan Soto(WSH),67,Eric Hosmer(SD),53,Eddie Rosario(ATL),46,166,Corey Seager(LAD),31
Tom,Marcell Ozuna(ATL),26,Eugenio Suarez(CIN),66,Charlie Blackmon(COL),59,151,Jorge Soler(ATL),46
Gregg,Mike Trout(LAA),18,Matt Chapman(OAK),57,Rhys Hoskins(PHI),68,143,Mookie Betts(LAD),44
