Name,P1 Name,P1 RBI,P2 Name,P2 RBI,P3 Name,P3 RBI,Total,P4 Name,P4 RBI
Brett,José Abreu(Chicago),9,Matt Olson(Oakland),5,J.D. Martinez(Boston),12,26,Michael A. Taylor(Kansas City),6
Dave,Manny Machado(San Diego),4,Nolan Arenado(St. Louis),5,Yordan Álvarez(Houston),8,17,Paul Goldschmidt(St. Louis),2
Arnie,Juan Soto(Washington),4,Corey Seager(Los Angeles),7,Eddie Rosario(Cleveland),5,16,Eric Hosmer(San Diego),8
Angelo,Vladimir Guerrero Jr.(Toronto),8,Francisco Lindor(New York),1,Aaron Judge(New York),5,14,George Springer(NO STATS),0
Wie,Freddie Freeman(Atlanta),6,Christian Yelich(Milwaukee),1,Alex Bregman(Houston),6,13,Kyle Tucker(Houston),11
Zee,Anthony Rendon(Los Angeles),3,Nelson Cruz(Minnesota),9,Josh Bell(NO STATS),0,12,Franmil Reyes(Cleveland),6
Gregg,Mike Trout(Los Angeles),6,Mookie Betts(Los Angeles),1,Rhys Hoskins(Philadelphia),4,11,Matt Chapman(Oakland),3
Rob,Bryce Harper(Philadelphia),3,Rafael Devers(Boston),5,Michael Conforto(New York),3,11,Giancarlo Stanton(New York),7
Kevin,Pete Alonso(New York),3,Fernando Tatis Jr.(San Diego),1,Ronald Acuna Jr.(Atlanta),6,10,Mike Moustakas(Cincinnati),3
Efran,Gleyber Torres(New York),0,Javier Baez(Chicago),5,Jose Ramirez(Cleveland),4,9,Trea Turner(Washington),4
Randy,Cody Bellinger(Los Angeles),2,Joey Gallo(Texas),4,Xander Bogaerts(Boston),2,8,Carlos Correa(Houston),5
Tom,Marcell Ozuna(Atlanta),0,Eugenio Suarez(Cincinnati),4,Charlie Blackmon(Colorado),4,8,Jorge Soler(Kansas City),2
