Name,P1 Name,P1 RBI,P2 Name,P2 RBI,P3 Name,P3 RBI,Total,P4 Name,P4 RBI
Brett,Jose Abreu(CWS),99,Matt Olson(OAK),83,J.D. Martinez(BOS),82,264,Michael A. Taylor(KC),44
Dave,Manny Machado(SD),84,Nolan Arenado(STL),84,Yordan Alvarez(HOU),87,255,Paul Goldschmidt(STL),77
Rob,Bryce Harper(PHI),59,Rafael Devers(BOS),94,Giancarlo Stanton(NYY),67,220,Michael Conforto(NYM),33
Efran,Trea Turner(LAD),56,Javier Baez(NYM),70,Jose Ramirez(CLE),82,208,Gleyber Torres(NYY),42
Kevin,Pete Alonso(NYM),75,Fernando Tatis Jr.(SD),78,Ronald Acuna Jr.(ATL),52,205,Mike Moustakas(CIN),19
Zee,Franmil Reyes(CLE),65,Nelson Cruz(TB),70,Josh Bell(WSH),70,205,Anthony Rendon(LAA),34
Randy,Carlos Correa(HOU),69,Joey Gallo(NYY),66,Xander Bogaerts(BOS),69,204,Cody Bellinger(LAD),32
Angelo,Vladimir Guerrero Jr.(TOR),91,Francisco Lindor(NYM),36,Aaron Judge(NYY),72,199,George Springer(TOR),35
Wie,Freddie Freeman(ATL),70,Christian Yelich(MIL),41,Kyle Tucker(HOU),71,182,Alex Bregman(HOU),35
Arnie,Juan Soto(WSH),70,Eric Hosmer(SD),54,Eddie Rosario(ATL),46,170,Corey Seager(LAD),33
Tom,Marcell Ozuna(ATL),26,Eugenio Suarez(CIN),66,Charlie Blackmon(COL),62,154,Jorge Soler(ATL),51
Gregg,Mike Trout(LAA),18,Matt Chapman(OAK),60,Rhys Hoskins(PHI),71,149,Mookie Betts(LAD),44
