Name,P1 Name,P1 RBI,P2 Name,P2 RBI,P3 Name,P3 RBI,Total,P4 Name,P4 RBI
Brett,Jose Abreu(CWS),107,Matt Olson(OAK),96,J.D. Martinez(BOS),89,292,Michael A. Taylor(KC),50
Dave,Manny Machado(SD),90,Nolan Arenado(STL),94,Yordan Alvarez(HOU),91,275,Paul Goldschmidt(STL),82
Rob,Bryce Harper(PHI),71,Rafael Devers(BOS),102,Giancarlo Stanton(NYY),73,246,Michael Conforto(NYM),45
Zee,Franmil Reyes(CLE),74,Nelson Cruz(TB),82,Josh Bell(WSH),81,237,Anthony Rendon(LAA),34
Angelo,Vladimir Guerrero Jr.(TOR),101,Francisco Lindor(NYM),47,Aaron Judge(NYY),79,227,George Springer(TOR),37
Efran,Trea Turner(LAD),59,Javier Baez(NYM),81,Jose Ramirez(CLE),87,227,Gleyber Torres(NYY),43
Kevin,Pete Alonso(NYM),85,Fernando Tatis Jr.(SD),89,Ronald Acuna Jr.(ATL),52,226,Mike Moustakas(CIN),21
Randy,Carlos Correa(HOU),75,Joey Gallo(NYY),69,Xander Bogaerts(BOS),70,214,Cody Bellinger(LAD),33
Wie,Freddie Freeman(ATL),76,Christian Yelich(MIL),45,Kyle Tucker(HOU),80,201,Alex Bregman(HOU),45
Arnie,Juan Soto(WSH),83,Eric Hosmer(SD),58,Eddie Rosario(ATL),52,193,Corey Seager(LAD),41
Tom,Marcell Ozuna(ATL),26,Eugenio Suarez(CIN),70,Charlie Blackmon(COL),74,170,Jorge Soler(ATL),59
Gregg,Mike Trout(LAA),18,Matt Chapman(OAK),69,Rhys Hoskins(PHI),71,158,Mookie Betts(LAD),51
