Name,P1 Name,P1 RBI,P2 Name,P2 RBI,P3 Name,P3 RBI,Total,P4 Name,P4 RBI
Brett,Jose Abreu(CWS),23,Matt Olson(OAK),20,J.D. Martinez(BOS),31,74,Michael A. Taylor(KC),8
Dave,Manny Machado(SD),17,Nolan Arenado(STL),22,Yordan Alvarez(HOU),21,60,Paul Goldschmidt(STL),20
Efran,Gleyber Torres(NYY),9,Javier Baez(CHC),25,Jose Ramirez(CLE),19,53,Trea Turner(WSH),14
Tom,Marcell Ozuna(ATL),20,Eugenio Suarez(CIN),12,Charlie Blackmon(COL),19,51,Jorge Soler(KC),16
Kevin,Pete Alonso(NYM),17,Fernando Tatis Jr.(SD),12,Ronald Acuna Jr.(ATL),22,51,Mike Moustakas(CIN),10
Arnie,Juan Soto(WSH),11,Corey Seager(LAD),19,Eddie Rosario(CLE),20,50,Eric Hosmer(SD),19
Gregg,Mike Trout(LAA),18,Mookie Betts(LAD),11,Rhys Hoskins(PHI),18,47,Matt Chapman(OAK),14
Angelo,Vladimir Guerrero Jr.(TOR),22,Francisco Lindor(NYM),6,Aaron Judge(NYY),18,46,George Springer(TOR),3
Rob,Bryce Harper(PHI),10,Rafael Devers(BOS),25,Michael Conforto(NYM),10,45,Giancarlo Stanton(NYY),23
Zee,Anthony Rendon(LAA),11,Nelson Cruz(MIN),21,Josh Bell(WSH),10,42,Franmil Reyes(CLE),23
Wie,Freddie Freeman(ATL),19,Christian Yelich(MIL),1,Alex Bregman(HOU),18,38,Kyle Tucker(HOU),16
Randy,Cody Bellinger(LAD),2,Joey Gallo(TEX),16,Xander Bogaerts(BOS),20,38,Carlos Correa(HOU),16
