Name,P1 Name,P1 RBI,P2 Name,P2 RBI,P3 Name,P3 RBI,Total,P4 Name,P4 RBI
Brett,Jose Abreu(CWS),53,Matt Olson(OAK),53,J.D. Martinez(BOS),46,152,Michael A. Taylor(KC),25
Dave,Manny Machado(SD),49,Nolan Arenado(STL),49,Yordan Alvarez(HOU),49,147,Paul Goldschmidt(STL),40
Kevin,Pete Alonso(NYM),35,Fernando Tatis Jr.(SD),54,Ronald Acuna Jr.(ATL),45,134,Mike Moustakas(CIN),13
Angelo,Vladimir Guerrero Jr.(TOR),64,Francisco Lindor(NYM),25,Aaron Judge(NYY),38,127,George Springer(TOR),7
Efran,Gleyber Torres(NYY),23,Javier Baez(CHC),46,Jose Ramirez(CLE),44,113,Trea Turner(WSH),34
Tom,Marcell Ozuna(ATL),26,Eugenio Suarez(CIN),44,Charlie Blackmon(COL),37,107,Jorge Soler(KC),28
Zee,Anthony Rendon(LAA),33,Nelson Cruz(MIN),39,Josh Bell(WSH),32,104,Franmil Reyes(CLE),29
Wie,Freddie Freeman(ATL),42,Christian Yelich(MIL),22,Alex Bregman(HOU),34,98,Kyle Tucker(HOU),44
Arnie,Juan Soto(WSH),32,Corey Seager(LAD),22,Eddie Rosario(CLE),42,96,Eric Hosmer(SD),36
Randy,Cody Bellinger(LAD),11,Joey Gallo(TEX),38,Xander Bogaerts(BOS),46,95,Carlos Correa(HOU),48
Rob,Bryce Harper(PHI),21,Rafael Devers(BOS),60,Michael Conforto(NYM),14,95,Giancarlo Stanton(NYY),37
Gregg,Mike Trout(LAA),18,Mookie Betts(LAD),28,Rhys Hoskins(PHI),43,89,Matt Chapman(OAK),39
