Name;Age;Position;2021 Team;2021 AB;2021 RBI;2020 Team;2020 AB;2020 RBI;AVG
Peters, DJ;26;CF;TEX;223;38;NA;NA;NA
Ahmed, Nick;32;SS;ARI;434;38;ARI;199;29
Castro, Willi;25;2B;DET;413;38;DET;129;24
Lagares, Juan;33;CF;LAA;309;38;NYM;0;0
Castro, Starlin;32;SS;WSH;315;38;WSH;60;4
Andrus, Elvis;33;SS;OAK;497;37;TEX;103;7
Jimenez, Eloy;25;LF;CWS;213;37;CWS;213;41
Kiermaier, Kevin;32;CF;TB;348;37;TB;138;22
Mercedes, Yermin;29;1B;CWS;240;37;CWS;1;0
Castro, Harold;28;2B;DET;315;37;DET;49;3
Kemp, Tony;30;2B;OAK;330;37;OAK;93;4
Polanco, Gregory;30;RF;TOR;336;36;PIT;157;22
VanMeter, Josh;27;2B;ARI;274;36;TYPE;TYPE;TYPE
Fraley, Jake;26;LF;SEA;214;36;SEA;26;0
Sanchez, Jesus;24;RF;MIA;227;36;MIA;25;2
Bellinger, Cody;26;CF;LAD;315;36;LAD;213;30
Cain, Lorenzo;36;CF;MIL;257;36;MIL;18;2
Tellez, Rowdy;27;1B;MIL;297;36;TOR;113;23
Zimmer, Bradley;29;CF;CLE;299;35;CLE;37;3
Voit, Luke;31;1B;NYY;213;35;NYY;213;52
Duggar, Steven;28;CF;SF;268;35;SF;34;3
Joe, Connor;29;1B;COL;179;35;NA;NA;NA
McNeil, Jeff;30;2B;NYM;386;35;NYM;183;23
Bote, David;29;2B;CHC;291;35;CHC;125;29
Sheets, Gavin;26;1B;CWS;160;34;NA;NA;NA
Kim, Ha-Seong;26;SS;SD;267;34;NA;NA;NA
Kirilloff, Alex;24;LF;MIN;215;34;NA;NA;NA
Rendon, Anthony;31;3B;LAA;217;34;LAA;189;31
Hilliard, Sam;28;CF;COL;214;34;COL;105;10
Ward, Taylor;28;RF;LAA;208;33;LAA;94;5
Goodrum, Niko;30;SS;DET;290;33;DET;158;20
Hampson, Garrett;27;CF;COL;453;33;COL;167;11
Ortega, Rafael;30;RF;CHC;296;33;NA;NA;NA
Profar, Jurickson;29;LF;SD;353;33;SD;180;25
Fuentes, Joshua;29;3B;COL;271;33;COL;98;17
Brinson, Lewis;27;OF;MIA;274;33;MIA;106;12
Cooper, Garrett;31;RF;MIA;215;33;MIA;120;20
Stewart, DJ;28;RF;BAL;270;33;BAL;88;15
Slater, Austin;29;CF;SF;274;32;SF;85;7
Tsutsugo, Yoshi;30;1B;PIT;230;32;TB;157;24
Buxton, Byron;28;CF;MIN;235;32;MIN;130;27
Hernandez, Yadiel;34;RF;WSH;264;32;WSH;26;6
Solano, Donovan;34;2B;SF;307;31;SF;190;29
Peterson, Jace;31;2B;MIL;259;31;MIL;45;5
Simmons, Andrelton;32;SS;MIN;412;31;LAA;118;10
Daza, Yonathan;28;CF;COL;301;30;NA;NA;NA
Eaton, Adam;33;CF;LAA;254;30;WSH;159;17
Moreland, Mitch;36;1B;OAK;229;30;TYPE;TYPE;TYPE
Duffy, Matt;31;3B;CHC;289;30;NA;NA;NA
Heyward, Jason;32;RF;CHC;323;30;CHC;147;22
Goodwin, Brian;31;CF;CWS;235;29;TYPE;TYPE;TYPE
Bradley Jr., Jackie;32;CF;MIL;387;29;BOS;191;22
O'Hearn, Ryan;28;1B;KC;236;29;KC;113;18
McKinstry, Zach;27;RF;LAD;158;29;LAD;7;0
Dickerson, Corey;32;LF;TOR;336;29;MIA;194;17
Larnach, Trevor;25;LF;MIN;260;28;NA;NA;NA
Nimmo, Brandon;29;CF;NYM;325;28;NYM;186;18
Meyers, Jake;25;LF;HOU;146;28;NA;NA;NA
Anderson, Brian;28;3B;MIA;233;28;MIA;200;38
Adrianza, Ehire;32;3B;ATL;182;28;MIN;89;3
Thomas, Lane;26;CF;WSH;226;28;STL;36;2
Gonzalez, Marwin;33;2B;HOU;276;28;MIN;175;22
Escobar, Alcides;35;2B;WSH;319;28;NA;NA;NA
Luplow, Jordan;28;CF;TB;163;28;CLE;78;8
La Stella, Tommy;33;2B;SF;220;27;TYPE;TYPE;TYPE
Pinder, Chad;30;LF;OAK;214;27;OAK;56;8
McKinney, Billy;27;LF;LAD;265;27;TOR;3;0
Biggio, Cavan;27;3B;TOR;250;27;TOR;220;28
Sosa, Edmundo;26;SS;STL;288;27;NA;NA;NA
Gamel, Ben;29;LF;PIT;340;26;MIL;114;10
Heredia, Guillermo;31;CF;ATL;305;26;TYPE;TYPE;TYPE
Adell, Jo;23;LF;LAA;130;26;LAA;124;7
Ozuna, Marcell;31;LF;ATL;188;26;ATL;228;56
Arroyo, Christian;26;2B;BOS;164;25;TYPE;TYPE;TYPE
Calhoun, Willie;27;LF;TEX;260;25;TEX;100;13
Valaika, Pat;29;2B;BAL;259;25;BAL;141;16
Ibanez, Andy;29;3B;TEX;253;25;NA;NA;NA
Vogelbach, Daniel;29;1B;MIL;215;24;TYPE;TYPE;TYPE
Difo, Wilmer;30;CF;PIT;219;24;WSH;14;1
Alberto, Hanser;29;3B;KC;241;24;BAL;219;22
Marisnick, Jake;31;CF;SD;176;24;NYM;33;5
Aquino, Aristides;28;RF;CIN;174;23;CIN;47;8
Holt, Brock;33;2B;TEX;235;23;TYPE;TYPE;TYPE
Stevenson, Andrew;27;CF;WSH;192;23;WSH;41;12
Davis, J.D.;29;3B;NYM;179;23;NYM;190;19
Gordon, Nick;26;SS;MIN;200;23;NA;NA;NA
Culberson, Charlie;33;3B;TEX;247;22;ATL;7;1
Garcia, Luis;21;SS;WSH;236;22;WSH;134;16
Estrada, Thairo;26;SS;SF;121;22;NYY;48;3
Moustakas, Mike;33;3B;CIN;183;22;CIN;139;27
Reyes, Victor;27;CF;DET;209;22;DET;202;14
Dubon, Mauricio;27;SS;SF;175;22;SF;157;19
Carpenter, Matt;36;2B;STL;207;21;STL;140;24
Naylor, Josh;24;RF;CLE;233;21;TYPE;TYPE;TYPE
Reddick, Josh;35;RF;NYM;151;21;HOU;188;23
Madrigal, Nick;25;2B;CHC;200;21;CWS;103;11
Gonzalez, Erik;30;3B;PIT;220;21;PIT;181;20
Astudillo, Willians;30;1B;MIN;208;21;MIN;16;3
Mendick, Danny;28;SS;CWS;164;20;CWS;107;6
Short, Zack;26;SS;DET;156;20;NA;NA;NA
Peraza, Jose;28;2B;NYM;142;20;BOS;111;8
Gutierrez, Kelvin;27;3B;BAL;272;20;KC;9;0
Kieboom, Carter;24;3B;WSH;217;20;WSH;99;9
Almonte, Abraham;32;OF;MIL;148;19;SD;11;0
Mazara, Nomar;27;OF;DET;165;19;CWS;136;15
Berti, Jon;32;3B;MIA;233;19;MIA;120;14
Lamb, Jake;31;OF;TOR;144;19;TYPE;TYPE;TYPE
Marsh, Brandon;24;CF;LAA;236;19;NA;NA;NA
Robles, Victor;24;CF;WSH;315;19;WSH;168;15
Hiura, Keston;25;1B;MIL;173;19;MIL;217;32
Mercado, Oscar;27;LF;CLE;214;19;CLE;86;6
De La Cruz, Bryan;25;OF;MIA;199;19;NA;NA;NA
Bauers, Jake;26;1B;SEA;282;19;NA;NA;NA
Brosseau, Mike;28;2B;TB;150;18;TB;86;12
Rengifo, Luis;25;SS;LAA;174;18;LAA;90;3
Trammell, Taylor;24;CF;SEA;156;18;NA;NA;NA
Engel, Adam;30;CF;CWS;123;18;CWS;88;12
Dahl, David;28;OF;MIL;205;18;COL;93;9
Panik, Joe;31;2B;MIA;236;18;TOR;120;7
Miller, Owen;25;2B;CLE;191;18;NA;NA;NA
Trout, Mike;30;CF;LAA;117;18;LAA;199;46
Espinal, Santiago;27;3B;TOR;222;17;TOR;60;6
Mondesi, Adalberto;26;SS;KC;126;17;KC;219;22
Martin, Jason;26;OF;TEX;144;17;PIT;9;0
Diaz, Isan;25;SS;MIA;238;17;MIA;22;1
Calhoun, Kole;34;RF;ARI;166;17;ARI;190;40
Alcantara, Sergio;25;SS;CHC;220;17;DET;21;1
Long Jr., Shed;26;2B;SEA;111;17;SEA;117;9
Gimenez, Andres;23;SS;CLE;188;16;NYM;118;12
Rooker, Brent;27;LF;MIN;189;16;MIN;19;5
Piscotty, Stephen;31;RF;OAK;173;16;OAK;159;29
Evans, Phillip;29;OF;PIT;214;16;PIT;39;9
Jones, Taylor;28;1B;HOU;102;16;HOU;21;3
Hoerner, Nico;24;2B;CHC;149;16;CHC;108;13
Tauchman, Mike;31;LF;SF;166;15;NYY;95;14
Frazier, Clint;27;LF;NYY;183;15;NYY;131;26
White, Eli;27;OF;TEX;198;15;TEX;48;3
Valera, Breyvic;30;2B;TOR;87;15;NA;NA;NA
Young, Andrew;27;2B;ARI;91;15;ARI;26;4
Walls, Taylor;25;SS;TB;152;15;NA;NA;NA
Rojas, Jose;29;3B;LAA;168;15;NA;NA;NA
Nootbaar, Lars;24;RF;STL;109;15;NA;NA;NA
Hicks, Aaron;32;CF;NYY;108;14;NYY;169;21
Drury, Brandon;29;3B;NYM;84;14;TOR;46;1
Nogowski, John;29;1B;SF;129;14;STL;4;0
Arcia, Orlando;27;SS;ATL;81;14;MIL;173;20
Santana, Danny;31;SS;BOS;116;14;TEX;55;7
Schrock, Max;27;3B;CIN;125;14;STL;17;1
Maton, Nick;25;2B;PHI;117;14;NA;NA;NA
Mateo, Jorge;26;RF;BAL;194;14;SD;26;2
McKenna, Ryan;25;CF;BAL;169;14;NA;NA;NA
Hill, Derek;26;CF;DET;139;14;DET;11;0
Park, Hoy;26;2B;PIT;128;14;NA;NA;NA
Cameron, Daz;25;CF;DET;103;13;DET;57;3
Cave, Jake;29;OF;MIN;164;13;MIN;113;15
Diaz, Lewin;25;1B;MIA;122;13;MIA;39;3
Akiyama, Shogo;34;LF;CIN;162;12;CIN;155;9
Sogard, Eric;35;2B;CHC;169;12;MIL;115;10
Marmolejos, Jose;29;1B;SEA;106;12;SEA;107;18
Refsnyder, Rob;31;OF;MIN;139;12;TEX;30;1
Andujar, Miguel;27;LF;NYY;154;12;NYY;62;5
Tom, Ka'ai;27;LF;SF;108;12;NA;NA;NA
Tucker, Cole;25;SS;PIT;117;12;PIT;109;8
Olivares, Edward;26;CF;KC;101;12;TYPE;TYPE;TYPE
Sandoval, Pablo;35;3B;CLE;73;11;TYPE;TYPE;TYPE
Alford, Anthony;27;LF;PIT;133;11;TYPE;TYPE;TYPE
Williams, Justin;26;OF;STL;119;11;STL;5;0
Hamilton, Billy;31;CF;CWS;127;11;TYPE;TYPE;TYPE
Chavis, Michael;26;2B;PIT;121;11;BOS;146;19
Lewis, Kyle;26;CF;SEA;130;11;SEA;206;28
Ruiz, Rio;27;3B;COL;125;10;BAL;185;32
Garlick, Kyle;30;OF;MIN;99;10;PHI;22;3
Duran, Jarren;25;CF;BOS;107;10;NA;NA;NA
Jankowski, Travis;30;OF;PHI;131;10;CIN;15;0
Parra, Gerardo;34;OF;WSH;97;10;NA;NA;NA
Inciarte, Ender;31;OF;CIN;79;10;ATL;116;10
Dyson, Jarrod;37;CF;TOR;135;10;TYPE;TYPE;TYPE
Davis, Khris;34;LF;OAK;102;10;OAK;85;10
Rondon, Jose;28;3B;STL;80;9;NA;NA;NA
Siri, Jose;26;CF;HOU;46;9;NA;NA;NA
Thompson, Trayce;31;OF;CHC;28;9;NA;NA;NA
Cordero, Franchy;27;LF;BOS;127;9;KC;38;7
Clement, Ernie;26;2B;CLE;121;9;NA;NA;NA
O'Grady, Brian;29;CF;SD;51;9;TB;5;0
Vosler, Jason;28;3B;SF;73;9;NA;NA;NA
Jones, JaCoby;29;OF;DET;100;9;DET;97;14
Taveras, Leody;23;CF;TEX;174;9;TEX;119;6
White, Evan;26;1B;SEA;97;9;SEA;182;26
Mercer, Jordy;35;SS;WSH;118;9;TYPE;TYPE;TYPE
Mathisen, Wyatt;28;1B;SF;42;8;ARI;27;5
Garcia, Robel;29;2B;HOU;106;8;NA;NA;NA
Arauz, Jonathan;23;2B;BOS;65;8;BOS;72;9
Martin, Richie;27;SS;BAL;98;8;NA;NA;NA
Senzel, Nick;26;CF;CIN;111;8;CIN;70;8
Castro, Rodolfo;22;3B;PIT;86;8;NA;NA;NA
Ramos, Henry;30;RF;ARI;50;8;NA;NA;NA
Walton, Donovan;27;2B;SEA;63;7;SEA;13;3
Nunez, Renato;28;3B;MIL;53;7;BAL;195;31
Joyce, Matt;37;RF;PHI;55;7;MIA;127;14
Vargas, Ildemaro;30;3B;ARI;77;7;TYPE;TYPE;TYPE
Hermosillo, Michael;27;OF;CHC;36;7;LAA;8;2
Dean, Austin;28;LF;STL;30;7;STL;4;0
Locastro, Tim;29;OF;NYY;139;7;ARI;69;7
Isbel, Kyle;25;RF;KC;76;7;NA;NA;NA
Velazquez, Andrew;27;SS;NYY;67;6;BAL;63;3
Williams, Luke;25;2B;PHI;98;6;NA;NA;NA
Vierling, Matt;25;CF;PHI;71;6;NA;NA;NA
Wong, Kean;27;2B;LAA;60;6;NA;NA;NA
DeShields, Delino;29;OF;CIN;47;6;CLE;107;7
Hernandez, Yonny;23;SS;TEX;143;6;NA;NA;NA
Alvarez, Eddy;32;2B;MIA;64;6;MIA;37;2
Blandino, Alex;29;2B;CIN;70;5;NA;NA;NA
Paredes, Isaac;23;2B;DET;72;5;DET;100;6
Romine, Andrew;36;SS;CHC;60;5;TEX;4;0
Sierra, Magneuris;26;OF;MIA;209;5;MIA;44;7
Guillorme, Luis;27;3B;NYM;132;5;NYM;57;9
Fargas, Johneshwy;27;CF;CHC;52;5;NA;NA;NA
Rivera, Emmanuel;25;3B;KC;90;5;NA;NA;NA
Devers, Jose;22;SS;MIA;41;5;NA;NA;NA
Ellis, Drew;26;3B;ARI;69;5;NA;NA;NA
Wade, Tyler;27;SS;NYY;127;5;NYY;88;10
Owings, Chris;30;2B;COL;43;5;COL;41;5
Gittens, Chris;28;1B;NYY;36;5;NA;NA;NA
Ford, Mike;29;1B;WSH;60;5;NYY;74;11
Johnson, Daniel;26;OF;CLE;77;5;CLE;12;0
Haggerty, Sam;27;OF;SEA;86;5;SEA;50;6
Davis, Jonathan;29;CF;NYY;87;4;TOR;27;6
Raley, Luke;27;LF;LAD;66;4;NA;NA;NA
Pache, Cristian;23;CF;ATL;63;4;ATL;4;0
Martini, Nick;31;LF;CHC;37;4;NA;NA;NA
Rivas, Webster;31;1B;SD;68;4;NA;NA;NA
Leyba, Domingo;26;2B;TEX;87;4;NA;NA;NA
Frazier, Todd;36;3B;PIT;35;4;TYPE;TYPE;TYPE
Palacios, Josh;26;RF;TOR;35;4;NA;NA;NA
Neuse, Sheldon;27;2B;LAD;65;4;NA;NA;NA
Bolt, Skye;28;CF;OAK;57;4;NA;NA;NA
Blankenhorn, Travis;25;2B;NYM;23;4;MIN;3;0
McCarthy, Jake;24;LF;ARI;59;4;NA;NA;NA
LaMarre, Ryan;33;OF;NYY;21;4;NA;NA;NA
Robertson, Daniel;28;SS;MIL;73;4;SF;21;2
Heineman, Scott;29;LF;CIN;30;3;TEX;52;7
Souza Jr., Steven;33;RF;LAD;33;3;CHC;27;5
Reyes, Pablo;28;3B;MIL;78;3;NA;NA;NA
